RM,LSTAT,DIS,AGE,MEDV,name
5.682,10.21,5.1004,33.8,19.3,one
5.786,14.15,5.1004,33.3,20,one
6.03,18.8,5.6894,85.5,16.6,one
5.399,30.81,5.87,95.3,14.4,one
5.602,16.2,6.0877,62,19.4,one
5.963,13.45,6.8147,45.7,19.7,one
6.115,9.43,6.8147,63,20.5,one
6.511,5.28,6.8147,21.1,25,one
5.998,8.43,6.8147,21.4,23.4,one
5.888,14.8,7.3197,47.6,18.9,one
7.249,4.81,8.6966,21.9,35.4,one
6.383,5.77,9.1876,35.7,24.7,one
6.816,3.95,8.3248,40.5,31.6,one
6.145,6.86,7.8148,29.2,23.3,one
5.927,9.22,6.932,47.2,19.6,one
5.741,13.15,7.2254,66.2,18.7,one
5.966,14.44,6.8185,93.4,16,one
6.456,6.73,7.2255,67.8,22.2,one
6.762,9.5,7.9809,43.4,25,one
7.104,8.05,9.2229,59.5,33,one
6.29,4.67,6.6115,17.8,23.5,one
5.787,10.24,6.6115,31.1,19.4,one
5.878,8.1,6.498,21.4,22,one
5.594,13.09,6.498,36.8,17.4,one
5.885,8.79,6.498,33,20.9,one
6.417,6.72,5.2873,6.6,24.2,one
5.961,9.88,5.2873,17.5,21.7,one
6.065,5.52,5.2873,7.8,22.8,one
6.245,7.54,5.2873,6.2,23.4,one
6.273,6.78,4.2515,6,24.1,one
6.286,8.94,4.5026,45,21.4,one
6.279,11.97,4.0522,74.5,20,one
6.14,10.27,4.0905,45.8,20.8,one
6.232,12.34,5.0141,53.7,21.2,one
5.874,9.1,4.5026,36.6,20.3,one
6.727,5.29,5.4007,33.5,28,one
6.619,7.22,5.4007,70.4,23.9,one
6.302,6.72,5.4007,32.2,24.8,one
6.167,7.51,5.4007,46.7,22.9,one
6.389,9.62,4.7794,48,23.9,one
6.63,6.53,4.4377,56.1,26.6,one
6.015,12.86,4.4272,45.1,22.5,one
6.121,8.44,3.7476,56.8,22.2,one
7.007,5.5,3.4217,86.3,23.6,one
7.079,5.7,3.4145,63.1,28.7,one
6.417,8.81,3.0923,66.1,22.6,one
6.405,8.2,3.0921,73.9,22,one
6.442,8.16,3.6659,53.6,22.9,one
6.211,6.21,3.6659,28.9,25,one
6.249,10.59,3.615,77.3,20.6,one
6.625,6.65,3.4952,57.8,28.4,one
6.163,11.34,3.4952,69.6,21.4,one
8.069,4.21,3.4952,76,38.7,one
7.82,3.57,3.4952,36.9,43.8,one
7.416,6.19,3.4952,62.5,33.2,one
6.727,9.42,2.7778,79.9,27.5,one
6.781,7.67,2.8561,71.3,26.5,one
6.405,10.63,2.7147,85.4,18.6,one
6.137,13.44,2.7147,87.4,19.3,one
6.167,12.33,2.421,90,20.1,one
5.851,16.47,2.1069,96.7,19.5,one
5.836,18.66,2.211,91.9,19.5,one
6.127,14.09,2.1224,85.2,20.4,one
6.474,12.27,2.4329,97.1,19.8,one
6.229,15.55,2.5451,91.2,19.4,one
6.195,13,2.7778,54.4,21.7,one
6.715,10.16,2.6775,81.6,22.8,one
5.913,16.21,2.3534,92.9,18.8,one
6.092,17.09,2.548,95.4,18.7,one
6.254,10.45,2.2565,84.2,18.5,one
5.928,15.76,2.4631,88.2,18.3,one
6.176,12.04,2.7301,72.5,21.2,one
6.021,10.3,2.7474,82.6,19.2,one
5.872,15.37,2.4775,73.1,20.4,one
5.731,13.61,2.7592,65.2,19.3,one
5.87,14.37,2.2577,69.7,22,one
6.004,14.27,2.1974,84.1,20.3,one
5.961,17.93,2.0869,92.9,20.5,one
5.856,25.41,1.9444,97,17.3,one
5.879,17.58,2.0063,95.8,18.8,one
5.986,14.81,1.9929,88.4,21.4,one
5.613,27.26,1.7572,95.6,15.7,one
5.693,17.19,1.7883,96,16.2,one
6.431,15.39,1.8125,98.8,18,one
5.637,18.34,1.9799,94.7,14.3,one
6.458,12.6,2.1185,98.9,19.2,one
6.326,12.26,2.271,97.7,19.6,one
6.372,11.12,2.3274,97.9,23,one
5.822,15.03,2.4699,95.4,18.4,one
5.757,17.31,2.346,98.4,15.6,one
6.335,16.96,2.1107,98.2,18.1,one
5.942,16.9,1.9669,93.5,17.4,one
6.454,14.59,1.8498,98.4,17.1,one
5.857,21.32,1.6686,98.2,13.3,one
6.151,18.46,1.6687,97.9,17.8,one
6.174,24.16,1.6119,93.6,14,one
5.019,34.41,1.4394,100,14.4,one
5.403,26.82,1.3216,100,13.4,one
5.468,26.42,1.4118,100,15.6,one
4.903,29.29,1.3459,97.8,11.8,one
6.13,27.8,1.4191,100,13.8,one
5.628,16.65,1.5166,100,15.6,one
4.926,29.53,1.4608,95.7,14.6,one
5.186,28.32,1.5296,93.8,17.8,one
5.597,21.45,1.5257,94.9,15.4,one
6.122,14.1,1.618,97.3,21.5,one
5.404,13.28,1.5916,100,19.6,one
5.012,12.12,1.6102,88,15.3,one
5.709,15.79,1.6232,98.5,19.4,one
6.129,15.12,1.7494,96,17,one
6.152,15.02,1.7455,82.6,15.6,one
5.272,16.14,1.7364,94,13.1,one
6.943,4.59,1.8773,97.4,41.3,one
6.066,6.43,1.7573,100,24.3,one
6.51,7.39,1.7659,100,23.3,one
6.25,5.5,1.7984,92.6,27,one
7.489,1.73,1.9709,90.8,50,one
7.802,1.92,2.0407,98.2,50,one
8.375,3.32,2.162,93.9,50,one
5.854,11.64,2.422,91.8,22.7,one
6.101,9.81,2.2834,93,25,one
7.929,3.7,2.0459,96.2,50,one
5.877,12.14,2.4259,79.2,23.8,one
6.319,11.1,2.1,96.1,23.8,one
6.402,11.32,2.2625,95.2,22.3,one
5.875,14.43,2.4259,94.6,17.4,one
5.88,12.03,2.3887,97.3,19.1,one
5.572,14.69,2.5961,88.5,23.1,one
6.416,9.04,2.6463,84.1,23.6,one
5.859,9.64,2.7019,68.7,22.6,one
6.546,5.33,3.1323,33.1,29.4,one
6.02,10.11,3.5549,47.2,23.2,one
6.315,6.29,3.3175,73.4,24.6,one
6.86,6.92,2.9153,74.4,29.9,one
6.98,5.04,2.829,58.4,37.2,one
7.765,7.56,2.741,83.3,39.8,one
6.144,9.45,2.5979,62.2,36.2,one
7.155,4.82,2.7006,92.2,37.9,one
6.563,5.68,2.847,95.6,32.5,one
5.604,13.98,2.9879,89.8,26.4,one
6.153,13.15,3.2797,68.8,29.6,one
7.831,4.45,3.1992,53.6,50,one
6.782,6.68,3.7886,41.1,32,one
6.556,4.56,4.5667,29.1,29.8,one
7.185,5.39,4.5667,38.9,34.9,one
6.951,5.1,6.4798,21.5,37,one
6.739,4.69,6.4798,30.8,30.5,one
7.178,2.87,6.4798,26.3,36.4,one
6.8,5.03,6.2196,9.9,31.1,one
6.604,4.38,6.2196,18.8,29.1,one
7.875,2.97,5.6484,32,50,one
7.287,4.08,7.309,34.1,33.3,one
7.107,8.61,7.309,36.6,30.3,one
7.274,6.62,7.309,38.3,34.6,one
6.975,4.56,7.6534,15.3,34.9,one
7.135,4.45,7.6534,13.9,32.9,one
6.162,7.43,6.27,38.4,24.1,one
7.61,3.11,6.27,15.7,42.3,one
7.853,3.81,5.118,33.2,48.5,one
8.034,2.88,5.118,31.9,50,one
5.891,10.87,3.9454,22.3,22.6,one
6.326,10.97,4.3549,52.5,24.4,one
5.783,18.06,4.3549,72.7,22.5,one
6.064,14.66,4.2392,59.1,24.4,one
5.344,23.09,3.875,100,20,one
5.96,17.27,3.8771,92.1,21.7,one
5.404,23.98,3.665,88.6,19.3,one
5.807,16.03,3.6526,53.8,22.4,one
6.375,9.38,3.9454,32.3,28.1,one
5.412,29.55,3.5875,9.8,23.7,one
6.182,9.47,3.9454,42.4,25,one
5.888,13.51,3.1121,56,23.3,one
6.642,9.69,3.4211,85.1,28.7,one
5.951,17.92,2.8893,93.8,21.5,one
6.373,10.5,3.3633,92.4,23,one
6.951,9.71,2.8617,88.5,26.7,one
6.164,21.46,3.048,91.3,21.7,one
6.879,9.93,3.2721,77.7,27.5,one
6.618,7.6,3.2721,80.8,30.1,one
8.266,4.14,2.8944,78.3,44.8,one
8.725,4.63,2.8944,83,50,one
8.04,3.13,3.2157,86.5,37.6,one
7.163,6.36,3.2157,79.9,31.6,one
7.686,3.92,3.3751,17,46.7,one
6.552,3.76,3.3751,21.4,31.5,one
5.981,11.65,3.6715,68.1,24.3,one
7.412,5.25,3.6715,76.9,31.7,one
8.337,2.47,3.8384,73.3,41.7,one
8.247,3.95,3.6519,70.4,48.3,one
6.726,8.05,3.6519,66.5,29,one
6.086,10.88,3.6519,61.5,24,one
6.631,9.54,4.148,76.5,25.1,one
7.358,4.73,4.148,71.6,31.5,one
6.481,6.36,6.1899,18.5,23.7,one
6.606,7.37,6.1899,42.2,23.3,one
6.897,11.38,6.3361,54.3,22,one
6.095,12.4,6.3361,65.1,20.1,one
6.358,11.22,7.0355,52.9,22.2,one
6.393,5.19,7.0355,7.8,23.7,one
5.593,12.5,7.9549,76.5,17.6,one
5.605,18.46,7.9549,70.2,18.5,one
6.108,9.16,8.0555,34.9,24.3,one
6.226,10.15,8.0555,79.2,20.5,one
6.433,9.52,7.8265,49.1,24.5,one
6.718,6.56,7.8265,17.5,26.2,one
6.487,5.9,7.3967,13,24.4,one
6.438,3.59,7.3967,8.9,24.8,one
6.957,3.53,8.9067,6.8,29.6,one
8.259,3.54,8.9067,8.4,42.8,one
6.108,6.57,9.2203,32,21.9,one
5.876,9.25,9.2203,19.1,20.9,one
7.454,3.11,6.3361,34.2,44,one
8.704,5.12,1.801,86.9,50,one
7.333,7.79,1.8946,100,36,one
6.842,6.9,2.0107,100,30.1,one
7.203,9.59,2.1121,81.8,33.8,one
7.52,7.26,2.1398,89.4,43.1,one
8.398,5.91,2.2885,91.5,48.8,one
7.327,11.25,2.0788,94.5,31,one
7.206,8.1,1.9301,91.6,36.5,one
5.56,10.45,1.9865,62.8,22.8,one
7.014,14.79,2.1329,84.6,30.7,one
8.297,7.44,2.4216,67,50,one
7.47,3.16,2.872,52.6,43.5,one
5.92,13.65,3.9175,61.5,20.7,one
5.856,13,4.429,42.1,21.1,one
6.24,6.59,4.429,16.3,25.2,one
6.538,7.73,3.9175,58.7,24.4,one
7.691,6.58,4.3665,51.8,35.2,one
6.758,3.53,4.0776,32.9,32.4,one
6.854,2.98,4.2673,42.8,32,one
7.267,6.05,4.7872,49,33.2,one
6.826,4.16,4.8628,27.6,33.1,one
6.482,7.19,4.1403,32.1,29.1,one
6.812,4.85,4.1007,32.2,35.1,one
7.82,3.76,4.6947,64.5,45.4,one
6.968,4.59,5.2447,37.2,35.4,one
7.645,3.01,5.2119,49.7,46,one
7.923,3.16,5.885,24.8,50,one
7.088,7.85,7.3073,20.8,32.2,one
6.453,8.23,7.3073,31.9,22,one
6.23,12.93,9.0892,31.5,20.1,one
6.209,7.14,7.3172,31.3,23.2,one
6.315,7.6,7.3172,45.6,22.3,one
6.565,9.51,7.3172,22.9,24.8,one
6.861,3.33,5.1167,27.9,28.5,one
7.148,3.56,5.1167,27.7,37.3,one
6.63,4.7,5.1167,23.4,27.9,one
6.127,8.58,5.5027,18.4,23.9,one
6.009,10.4,5.5027,42.3,21.7,one
6.678,6.27,5.9604,31.1,28.6,one
6.549,7.39,5.9604,51,27.1,one
5.79,15.84,6.32,58,20.3,one
6.345,4.97,7.8278,20.1,22.5,one
7.041,4.74,7.8278,10,29,one
6.871,6.07,7.8278,47.4,24.8,one
6.59,9.5,5.4917,40.4,22,one
6.495,8.67,5.4917,18.4,26.4,one
6.982,4.86,5.4917,17.7,33.1,one
7.236,6.93,4.022,41.1,36.1,one
6.616,8.93,3.37,58.1,28.4,one
7.42,6.47,3.0992,71.9,33.4,one
6.849,7.53,3.1827,70.3,28.2,one
6.635,4.54,3.3175,82.5,22.8,one
5.972,9.97,3.1025,76.7,20.3,one
4.973,12.64,2.5194,37.8,16.1,one
6.122,5.98,2.6403,52.8,22.1,one
6.023,11.72,2.834,90.4,19.4,one
6.266,7.9,3.2628,82.8,21.6,one
6.567,9.28,3.6023,87.3,23.8,one
5.705,11.5,3.945,77.7,16.2,one
5.914,18.33,3.9986,83.2,17.8,one
5.782,15.94,4.0317,71.7,19.8,one
6.382,10.36,3.5325,67.2,23.1,one
6.113,12.73,4.0019,58.8,21,one
6.426,7.2,4.5404,52.3,23.8,one
6.376,6.87,4.5404,54.3,23.1,one
6.041,7.7,4.7211,49.9,20.4,one
5.708,11.74,4.7211,74.3,18.5,one
6.415,6.12,4.7211,40.1,25,one
6.431,5.08,5.4159,14.7,24.6,one
6.312,6.15,5.4159,28.9,23,one
6.083,12.79,5.4159,43.7,22.2,one
5.868,9.97,5.2146,25.8,19.3,one
6.333,7.34,5.2146,17.2,22.6,one
6.144,9.09,5.8736,32.2,19.8,one
5.706,12.43,6.6407,28.4,17.1,one
6.031,7.83,6.6407,23.3,19.4,one
6.316,5.68,6.4584,38.1,22.2,one
6.31,6.75,6.4584,38.5,20.7,one
6.037,8.01,5.9853,34.5,21.1,one
5.869,9.8,5.2311,46.3,19.5,one
5.895,10.56,5.615,59.6,18.5,one
6.059,8.51,4.8122,37.3,20.6,one
5.985,9.74,4.8122,45.4,19,one
5.968,9.29,4.8122,58.5,18.7,one
7.241,5.49,7.0379,49.3,32.7,one
6.54,8.65,6.2669,59.7,16.5,one
6.696,7.18,5.7321,56.4,23.9,one
6.874,4.61,6.4654,28.1,31.2,one
6.014,10.53,8.0136,48.5,17.5,one
5.898,12.67,8.0136,52.3,17.2,one
6.516,6.36,8.5353,27.7,23.1,one
6.635,5.99,8.344,29.7,24.5,one
6.939,5.89,8.7921,34.5,26.6,one
6.49,5.98,8.7921,44.4,22.9,one
6.579,5.49,10.7103,35.9,24.1,one
5.884,7.79,10.7103,18.5,18.6,one
6.728,4.5,12.1265,36.1,30.1,one
5.663,8.05,10.5857,21.9,18.2,one
5.936,5.57,10.5857,19.5,20.6,one
6.212,17.6,2.1222,97.4,17.8,one
6.395,13.27,2.5052,91,21.7,one
6.127,11.48,2.7227,83.4,22.7,one
6.112,12.67,2.5091,81.3,22.6,one
6.398,7.79,2.5182,88,25,one
6.251,14.19,2.2955,91.1,19.9,one
5.362,10.19,2.1036,96.2,20.8,one
5.803,14.64,1.9047,89,16.8,one
8.78,5.29,1.9047,82.9,21.9,one
3.561,7.12,1.6132,87.9,27.5,one
4.963,14,1.7523,91.4,21.9,one
3.863,13.33,1.5106,100,23.1,one
4.97,3.26,1.3325,100,50,one
6.683,3.73,1.3567,96.8,50,one
7.016,2.96,1.2024,97.5,50,one
6.216,9.53,1.1691,100,50,one
5.875,8.88,1.1296,89.6,50,one
4.906,34.77,1.1742,100,13.8,one
4.138,37.97,1.137,100,13.8,one
7.313,13.44,1.3163,97.9,15,one
6.649,23.24,1.3449,93.3,13.9,one
6.794,21.24,1.358,98.8,13.3,one
6.38,23.69,1.3861,96.2,13.1,one
6.223,21.78,1.3861,100,10.2,one
6.968,17.21,1.4165,91.9,10.4,one
6.545,21.08,1.5192,99.1,10.9,one
5.536,23.6,1.5804,100,11.3,one
5.52,24.56,1.5331,100,12.3,one
4.368,30.63,1.4395,91.2,8.8,one
5.277,30.81,1.4261,98.1,7.2,one
4.652,28.28,1.4672,100,10.5,one
5,31.99,1.5184,89.5,7.4,one
4.88,30.62,1.5895,100,10.2,one
5.39,20.85,1.7281,98.9,11.5,one
5.713,17.11,1.9265,97,15.1,one
6.051,18.76,2.1678,82.5,23.2,one
5.036,25.68,1.77,97,9.7,one
6.193,15.17,1.7912,92.6,13.8,one
5.887,16.35,1.7821,94.7,12.7,one
6.471,17.12,1.7257,98.8,13.1,one
6.405,19.37,1.6768,96,12.5,one
5.747,19.92,1.6334,98.9,8.5,one
5.453,30.59,1.4896,100,5,one
5.852,29.97,1.5004,77.8,6.3,one
5.987,26.77,1.5888,100,5.6,one
6.343,20.32,1.5741,100,7.2,one
6.404,20.31,1.639,100,12.1,one
5.349,19.77,1.7028,96,8.3,one
5.531,27.38,1.6074,85.4,8.5,one
5.683,22.98,1.4254,100,5,one
4.138,23.34,1.1781,100,11.9,one
5.608,12.13,1.2852,100,27.9,one
5.617,26.4,1.4547,97.9,17.2,one
6.852,19.78,1.4655,100,27.5,one
5.757,10.11,1.413,100,15,one
6.657,21.22,1.5275,100,17.2,one
4.628,34.37,1.5539,100,17.9,one
5.155,20.08,1.5894,100,16.3,one
4.519,36.98,1.6582,100,7,one
6.434,29.05,1.8347,100,7.2,one
6.782,25.79,1.8195,90.8,7.5,one
5.304,26.64,1.6475,89.1,10.4,one
5.957,20.62,1.8026,100,8.8,one
6.824,22.74,1.794,76.5,8.4,one
6.411,15.02,1.8589,100,16.7,one
6.006,15.7,1.8746,95.3,14.2,one
5.648,14.1,1.9512,87.6,20.8,one
6.103,23.29,2.0218,85.1,13.4,one
5.565,17.16,2.0635,70.6,11.7,one
5.896,24.39,1.9096,95.4,8.3,one
5.837,15.69,1.9976,59.7,10.2,one
6.202,14.52,1.8629,78.7,10.9,one
6.193,21.52,1.9356,78.1,11,one
6.38,24.08,1.9682,95.6,9.5,one
6.348,17.64,2.0527,86.1,14.5,one
6.833,19.69,2.0882,94.3,14.1,one
6.425,12.03,2.2004,74.8,16.1,one
6.436,16.22,2.3158,87.9,14.3,one
6.208,15.17,2.2222,95,11.7,one
6.629,23.27,2.1247,94.6,13.4,one
6.461,18.05,2.0026,93.3,9.6,one
6.152,26.45,1.9142,100,8.7,one
5.935,34.02,1.8206,87.9,8.4,one
5.627,22.88,1.8172,93.9,12.8,one
5.818,22.11,1.8662,92.4,10.5,one
6.406,19.52,2.0651,97.2,17.1,one
6.219,16.59,2.0048,100,18.4,one
6.485,18.85,1.9784,100,15.4,one
5.854,23.79,1.8956,96.6,10.8,one
6.459,23.98,1.9879,94.8,11.8,one
6.341,17.79,2.072,96.4,14.9,one
6.251,16.44,2.198,96.6,12.6,one
6.185,18.13,2.2616,98.7,14.1,one
6.417,19.31,2.185,98.3,13,one
6.749,17.44,2.3236,92.6,13.4,one
6.655,17.73,2.3552,98.2,15.2,one
6.297,17.27,2.3682,91.8,16.1,one
7.393,16.74,2.4527,99.3,17.8,one
6.728,18.71,2.4961,94.1,14.9,one
6.525,18.13,2.4358,86.5,14.1,one
5.976,19.01,2.5806,87.9,12.7,one
5.936,16.94,2.7792,80.3,13.5,one
6.301,16.23,2.7831,83.7,14.9,one
6.081,14.7,2.7175,84.4,20,one
6.701,16.42,2.5975,90,16.4,one
6.376,14.65,2.5671,88.4,17.7,one
6.317,13.99,2.7344,83,19.5,one
6.513,10.29,2.8016,89.9,20.2,one
6.209,13.22,2.9634,65.4,21.4,one
5.759,14.13,3.0665,48.2,19.9,one
5.952,17.15,2.8715,84.7,19,one
6.003,21.32,2.5403,94.5,19.1,one
5.926,18.13,2.9084,71,19.1,one
5.713,14.76,2.8237,56.7,20.1,one
6.167,16.29,3.0334,84,19.9,one
6.229,12.87,3.0993,90.7,19.6,one
6.437,14.36,2.8965,75,23.2,one
6.98,11.66,2.5329,67.6,29.8,one
5.427,18.14,2.4298,95.4,13.8,one
6.162,24.1,2.206,97.4,13.3,one
6.484,18.68,2.3053,93.6,16.7,one
5.304,24.91,2.1007,97.3,12,one
6.185,18.03,2.1705,96.7,14.6,one
6.229,13.11,1.9512,88,21.4,one
6.242,10.74,3.4242,64.7,23,one
6.75,7.74,3.3317,74.9,23.7,one
7.061,7.01,3.4106,77,25,one
5.762,10.42,4.0983,40.3,21.8,one
5.871,13.34,3.724,41.9,20.6,one
6.312,10.58,3.9917,51.9,21.2,one
6.114,14.98,3.5459,79.8,19.1,one
5.905,11.45,3.1523,53.2,20.6,one
5.454,18.06,1.8209,92.7,15.2,one
5.414,23.97,1.7554,98.3,7,one
5.093,29.68,1.8226,98,8.1,one
5.983,18.07,1.8681,98.8,13.6,one
5.983,13.35,2.1099,83.5,20.1,one
5.707,12.01,2.3817,54,21.8,one
5.926,13.59,2.3817,42.6,24.5,one
5.67,17.6,2.7986,28.8,23.1,one
5.39,21.14,2.7986,72.9,19.7,one
5.794,14.1,2.8927,70.6,18.3,one
6.019,12.92,2.4091,65.3,21.2,one
5.569,15.1,2.3999,73.5,17.5,one
6.027,14.33,2.4982,79.7,16.8,one
6.593,9.67,2.4786,69.1,22.4,one
6.12,9.08,2.2875,76.7,20.6,one
6.976,5.64,2.1675,91,23.9,one
6.794,6.48,2.3889,89.3,22,one
6.03,7.88,2.505,80.8,11.9,one
